rep,gamma,alignment,estimator,pair,signed_err,truth,miss_rate
25,0.0,aligned,mi_obs,47,0.03871941749108215,0.07368321877986533,0.47272916666666664
25,0.0,aligned,mi_obs,48,-0.06581628749031698,-0.8263628572098025,0.47272916666666664
25,0.0,aligned,mi_obs,49,-0.02117650797688081,-0.4367540280853618,0.47272916666666664
25,0.0,aligned,mi_obs,50,0.050434551454471066,0.7462513736412254,0.47272916666666664
25,0.0,aligned,mi_obs,51,-0.009591406578053463,0.27960558152008086,0.47272916666666664
25,0.0,aligned,mi_obs,52,0.0044922982131793965,0.22898162933739755,0.47272916666666664
25,0.0,aligned,mi_obs,53,0.01453099733628882,0.29846518621518897,0.47272916666666664
25,0.0,aligned,mi_obs,54,0.04502430990096373,0.8284470741054853,0.47272916666666664
25,0.0,aligned,mi_obs,55,-0.02321286466202932,-0.5321333006181571,0.47272916666666664
25,0.0,aligned,mi_obs,56,0.03049213772278203,0.5467982488183845,0.47272916666666664
25,0.0,aligned,mi_obs,57,-0.017018303060373663,-0.6275068063418455,0.47272916666666664
25,0.0,aligned,mi_obs,58,0.0017668103975741652,0.025292919594403836,0.47272916666666664
25,0.0,aligned,mi_obs,59,0.010487714777467572,0.5990236466697257,0.47272916666666664
25,0.0,aligned,mi_obs,60,-0.02181152791345497,0.009770310840644232,0.47272916666666664
25,0.0,aligned,mi_obs,61,-0.03417920899557455,-0.05325010444290764,0.47272916666666664
25,0.0,aligned,mi_obs,62,0.03289096789389606,0.19988384981575608,0.47272916666666664
25,0.0,aligned,mi_obs,63,-0.016039115939502913,0.3597219856113785,0.47272916666666664
25,0.0,aligned,mi_obs,64,-0.0063972944905431595,-0.8369812326537384,0.47272916666666664
25,0.0,aligned,mi_obs,65,-0.010426241730549513,-0.6426248155201937,0.47272916666666664
25,0.0,aligned,mi_class,0,0.20219962017210213,-0.4636744683510657,0.47272916666666664
25,0.0,aligned,mi_class,1,0.053061727740732645,-0.36755524151273833,0.47272916666666664
25,0.0,aligned,mi_class,2,-0.05761823015089085,0.4290824210222657,0.47272916666666664
25,0.0,aligned,mi_class,3,-0.23827927880072008,0.7630351484045055,0.47272916666666664
25,0.0,aligned,mi_class,4,0.19060778991586452,-0.6713432513815949,0.47272916666666664
